# overetch,offset,thickness,sensitivity 
0.240415,0.028541,29.762171,0.004334
0.245632,-0.022156,30.367794,0.004414
0.275677,0.041205,29.544225,0.004326
0.311698,0.000646,30.167819,0.004450
0.270117,-0.004325,30.151744,0.004395
0.341109,-0.125096,29.902223,0.004521
0.262318,0.160557,30.292145,0.004552
0.224578,-0.042461,30.242123,0.004401
0.424654,-0.101486,29.965838,0.004793
0.381283,-0.085884,29.985393,0.004618
0.246654,-0.135957,30.351862,0.004488
0.304792,-0.262702,30.204239,0.004723
0.327473,0.199180,30.459945,0.004715
0.277584,0.100937,29.882094,0.004421
0.276122,0.056162,29.777085,0.004367
0.270288,-0.118924,30.208721,0.004457
0.330156,-0.313190,29.844061,0.004823
0.308184,-0.099107,30.123391,0.004468
0.347354,-0.091773,29.849421,0.004503
0.278570,-0.143290,30.235117,0.004493
0.279640,0.022007,30.036157,0.004392
0.355357,0.057702,30.029332,0.004547
0.261617,0.038382,29.879645,0.004362
0.287193,-0.015478,30.010482,0.004391
0.260753,0.063590,29.938788,0.004385
0.367587,-0.161217,30.243711,0.004677
0.304342,-0.072555,29.831061,0.004404
0.345223,-0.009684,29.734019,0.004457
0.352597,0.086062,29.999935,0.004554
0.284017,-0.012159,29.821180,0.004361
0.298555,-0.054022,29.968460,0.004407
0.373556,-0.084352,30.324030,0.004642
0.392031,0.105441,30.392177,0.004754
0.279276,0.132655,30.266539,0.004515
0.293761,0.087418,29.960156,0.004436
0.328014,0.136082,29.905919,0.004535
0.268779,-0.082602,29.942407,0.004387
0.197382,-0.001681,29.562464,0.004315
0.273555,-0.275473,29.587843,0.004645
0.334258,0.167576,29.867137,0.004585
0.320220,-0.040776,30.028865,0.004448
0.245687,0.215537,30.231421,0.004654
0.325679,-0.055791,29.605977,0.004402
0.185283,0.042375,29.906493,0.004392
0.362083,0.048792,30.067422,0.004567
0.268113,0.005197,30.162964,0.004396
0.308397,0.216084,30.227207,0.004683
0.229570,0.018388,29.650891,0.004315
0.338159,-0.159536,29.774012,0.004531
0.294919,-0.053660,30.004982,0.004407
0.257152,0.079646,29.743762,0.004368
0.294586,0.121031,29.815924,0.004451
0.291741,0.139801,30.391762,0.004555
0.299894,-0.161732,30.026149,0.004507
0.228572,0.034266,29.682095,0.004326
0.305851,0.192588,30.002091,0.004600
0.360553,0.072101,29.805204,0.004537
0.390476,-0.104923,30.258159,0.004702
0.232605,-0.100848,29.858181,0.004381
0.204766,0.007656,29.849797,0.004351
0.322578,-0.061004,29.466912,0.004377
0.366612,-0.206667,30.041901,0.004705
0.308337,-0.043063,30.367390,0.004476
0.381795,-0.124792,30.386419,0.004707
0.258038,-0.064642,29.870206,0.004361
0.409318,-0.091121,29.822121,0.004700
0.338064,-0.131119,30.013828,0.004536
0.272733,0.080258,30.407741,0.004472
0.319050,-0.048049,30.011222,0.004445
0.347523,-0.077849,29.826420,0.004492
0.297236,-0.067944,29.705149,0.004374
0.292651,0.115796,29.974235,0.004465
0.310890,-0.115512,30.251801,0.004505
0.371966,0.086688,30.223566,0.004644
0.293809,-0.221160,30.129338,0.004613
0.344442,-0.240611,29.791846,0.004672
0.278419,0.084386,29.962489,0.004417
0.296318,-0.040367,30.481880,0.004473
0.300720,-0.048676,30.047787,0.004420
0.363242,0.057219,29.794089,0.004534
0.352869,0.122048,29.892096,0.004573
0.247848,0.060129,30.101756,0.004401
0.291850,0.085061,30.130191,0.004456
0.277395,-0.037882,30.285652,0.004423
0.359341,0.077833,29.822908,0.004540
0.329548,-0.076189,29.950963,0.004468
0.213731,-0.085701,30.060035,0.004404
0.319400,-0.133247,30.023750,0.004503
0.303825,-0.081969,30.118755,0.004450
0.282425,0.159445,30.091461,0.004532
0.297369,-0.029484,30.070362,0.004414
0.321558,-0.061563,30.018320,0.004455
0.325706,0.155356,30.135551,0.004590
0.301652,-0.224587,29.526167,0.004537
0.274199,-0.021873,30.039769,0.004383
0.289681,0.236711,29.953332,0.004670
0.262280,0.026583,29.790408,0.004345
0.304359,0.027881,29.437714,0.004339
0.298074,-0.224881,29.886379,0.004588
0.300358,0.042204,30.065279,0.004429
0.303425,0.002037,30.001014,0.004412
0.217131,-0.143107,30.303805,0.004501
0.332823,-0.229051,29.712067,0.004617
0.225027,-0.116670,29.828207,0.004395
0.358122,-0.082545,29.775799,0.004515
0.325114,0.173008,29.605551,0.004537
0.426236,-0.237273,29.902090,0.004941
0.348710,0.035028,30.215402,0.004545
0.284722,0.034751,29.757311,0.004362
0.327090,0.014713,29.651565,0.004407
0.239456,0.209301,30.248994,0.004645
0.191694,-0.007123,29.922799,0.004371
0.247980,0.158720,30.078050,0.004515
0.270709,0.230344,30.063196,0.004663
0.298353,0.088924,30.158252,0.004472
0.272059,-0.240261,29.816921,0.004595
0.332685,0.146866,29.954412,0.004566
0.247140,0.098558,29.742872,0.004383
0.287894,-0.097137,30.257712,0.004459
0.216364,0.005680,30.326466,0.004412
0.346633,0.027868,30.011778,0.004508
0.260972,0.065560,30.262466,0.004432
0.217268,-0.018475,30.267278,0.004402
0.262535,-0.139290,30.189856,0.004473
0.206479,0.083914,30.198735,0.004446
0.278875,0.157700,29.951768,0.004506
0.248082,-0.044121,29.961182,0.004361
0.334292,0.128531,29.800314,0.004523
0.253903,-0.157226,30.156655,0.004490
0.180351,0.049996,30.243562,0.004451
0.301252,-0.309273,29.964299,0.004803
0.237992,0.075323,30.186975,0.004424
0.226914,-0.008931,29.847177,0.004339
0.181535,-0.039479,29.981988,0.004397
0.323395,-0.010646,29.692276,0.004402
0.353238,-0.032336,29.969491,0.004513
0.247994,0.000870,30.602344,0.004447
